IE_NAME;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE
Питбайк на гусянке;Y;28.02.2018;;https://pitland.ru/upload/iblock/822/822bf6f88036f4b931f73a81cbd82c7d.JPG;;text;https://pitland.ru/upload/iblock/558/5589ba6fb6ecf9a9b14c6898604f1bdf.JPG;;html;pitbayk-na-gusyanke
На Питбайке по воде | Робби Мэддисон в Шоке;Y;11.05.2018;;https://pitland.ru/upload/iblock/3d2/3d210f3e930182f913b81df8a4951914.jpeg;;text;;;html;na-pitbayke-po-vode-robbi-meddison-v-shoke
Дорогой эксперимент | Питбайк Daytona 190. На воде или на дне?;Y;18.06.2018 19:05:00;;https://pitland.ru/upload/iblock/04e/04eb524d7dcd56d951d908337c2f2f77.jpeg;;text;;;html;dorogoy-eksperiment-pitbayk-daytona-190-na-vode-ili-na-dne
Новые ЭНДУРО мотоциклы Авантис от 250 до 450 кубов;Y;24.01.2024;;https://pitland.ru/upload/iblock/a65/a65debb5ff528adbf9915efba7a5fb18.png;;text;;;html;novye-enduro-mototsikly-avantis-ot-250-do-450-kubov
сДАЛАсь за питбайк | а ты точно Питбайкер?;Y;05.09.2018 17:25:00;;https://pitland.ru/upload/iblock/93e/93ec368f1bec3aee008b025753d6bd07.jpeg;;text;;;html;sdalas-za-pitbayk-a-ty-tochno-pitbayker
Обзор китайских двухтактников Koshine.;Y;24.01.2024;;https://pitland.ru/upload/iblock/689/68985659545e23b04b6feeb0a3a8ce4c.JPG;;text;;;html;obzor-kitayskikh-dvukhtaktnikov-koshine
Выбираем детский питбайк!;Y;24.01.2024;;https://pitland.ru/upload/iblock/596/5961062c3fa946e7fcd4c946c12c2829.jpg;;text;;;html;vybiraem-detskiy-pitbayk
Водный питбайк. Только бы не утонуть.;Y;24.01.2024;;https://pitland.ru/upload/iblock/768/768889acc59ce4c6e871ac7343a1f6d7.jpg;;text;;;html;vodnyy-pitbayk-tolko-by-ne-utonut
Квадрики KAYO. Круто или нет?!;Y;24.01.2019 21:32:00;;https://pitland.ru/upload/iblock/d9a/d9a00c92336c57829b4d9a41750b34a4.jpg;;text;;;html;kvadriki-kayo-kruto-ili-net-
2000 байкеров!;Y;10.06.2019 22:20:00;;https://pitland.ru/upload/iblock/7b0/7b00117d2e90b6c84e74e6cde5bed349.jpg;;text;;;html;2000-baykerov
Обзор и тест драйв новых Питбайков AVANTIS 2019;Y;24.01.2024;;https://pitland.ru/upload/iblock/53f/53fc807778833afe938dcddd52dfb259.jpg;;text;;;html;obzor-i-test-drayv-novykh-pitbaykov-avantis-2019
ЧЕппер из питбайка;Y;24.01.2024;;https://pitland.ru/upload/iblock/5b5/5b5f75f754bcd173fb6a4fdcdc262746.jpg;;text;;;html;chepper-iz-pitbayka
Эндурик Zuum CR 250 CB. Как он вообще?;Y;18.07.2019 10:58:00;;https://pitland.ru/upload/iblock/e00/e007ae99271e228eac98ab3c8d7a9592.jpg;;text;;;html;endurik-zuum-cr-250-cb-kak-on-voobshche
Бюджетная и топовая экипировка для питбайка;Y;11.07.2019 15:21:00;;https://pitland.ru/upload/iblock/90f/90f1c418528997ca6741a050421f71b0.jpg;;text;;;html;byudzhetnaya-i-topovaya-ekipirovka-dlya-pitbayka
Доставка питбайка YCF START F125 для Ромы от Питбайкленд;Y;22.07.2019 21:32:00;;https://pitland.ru/upload/iblock/6ca/6caf4b29cf8a7e9af6a389559339cb4e.jpg;;text;;;html;dostavka-pitbayka-ycf-start-f125-dlya-romy-ot-pitbayklend
Питбайки APOLLO RXF Freeride 125/140/150/190. В чем отличие?;Y;30.07.2019 10:38:00;;https://pitland.ru/upload/iblock/df2/df20410a299f96305b1030e86336294a.jpg;;text;;;html;pitbayki-apollo-rxf-freeride-125-140-150-190-v-chem-otlichie
Собираем питбайк BSE PH10-125MX из коробки;Y;24.01.2024;;https://pitland.ru/upload/iblock/76c/76cd4d6288444476c3025f68669934cb.jpg;;text;;;html;sobiraem-pitbayk-bse-ph10-125mx-iz-korobki
