IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IP_PROP459
9411;Питбайки Kayo 2020. Что нового?;Y;"В PITBIKELAND есть вся линейка питбайков и мотоциклов Kayo 2020 года выпуска!

Kayo MINI LF110
Kayo GP1-MX 125
Kayo KRZ Classic 125
Kayo KRZ Basic 140
Kayo EVO 150
Kayo K1 250MX
Kayo T2 250 Enduro

В этом выпуске мы разберём: чем же они отличаются от предшествующих моделей?!
Всем приятного просмотра!";text;pitbayki-kayo-2020-chto-novogo;https://www.youtube.com/embed/Zb2NxTho81c
9412;ТЕСТ ДРАЙВ ПИТБАЙКОВ НА ВСЕ БАБКИ;Y;"А ты знал, что у нас есть свой бесплатный тест-драйв питбайков на собственной трассе возле ТЦ Формула Х?!
В этом выпуске мы вам покажем, как проходят наши тусовки зимой ;)
Мы гоняем на всём! На питбайке с гусеницей, дрифт-трайке на базе питбайка и на классических питах
Приезжай на наш тест-драйв и выбери подходящий для себя пит!";text;test-drayv-pitbaykov-na-vse-babki;https://www.youtube.com/embed/FO8vYZScutE
9413;Питбайки PWR Racing. Честный обзор.;Y;"Долгожданное видео о питбайках PWR Racing!
В этом выпуске мы разберём: что это такое питбайк PWR и обсудим все плюсы и минусы байков.
Все узнаешь в этом выпуске.";text;pitbayki-pwr-racing-chestnyy-obzor;https://www.youtube.com/embed/gDovRFcWu9w
9414;Обзор и сравнение Kayo K4 | XMOTOS RACER PRO 250 | BSE Z5 | Avantis Enduro 250;Y;"В этом выпуске мы сделаем обзор, сравнение самых популярных китайских эндуро мотоциклов или так называемых ЧЕКУШЕК - то есть эндуриков с объемом 250сс с воздушным охлаждением. Что же лучше выбрать под свой рост, вес и стиль катания?   KAYO K4 (172 FMM) MX 21/18 (2020), XMOTOS RACER PRO 250 21/18 (172FMM) 2020 белый, BSE Z5-250e 21/18(172 FMM) 2019 или Avantis Enduro 250 21/18 на подвеске Fastace. 
Итак вопрос: какой кроссовый мотоцикл на моторе Zongshen 172 fmm взять для мотокросса, простых покатушек или жесткого эндуро?
Будем проверять комплектацию, наличие запчастей, сравнивать подвески, двигатели, рули, цепи, фары и надежность.";text;obzor-i-sravnenie-kayo-k4-xmotos-racer-pro-250-bse-z5-avantis-enduro-250;https://www.youtube.com/embed/A5ZhxuIyyPY
10717;Наш первый ПИТБАЙК ФРИРАЙД;Y;"Вот она наша первая трешовая эндуро-катка по бездорожью на питбайках!
Чего только не было по дорогея: и песчаные карьеры, и грязь, и снег, в некоторых местах приходилось летать через брёвна, падали в лужи, кайфовали во всю!
Именно это мы и назвали фрирайд на питбайках ;)
Едешь куда глаза глядят и получаешь кучу фана!

В этот день мы гоняли соверешенно на разной технике:

- Два питбайка JMC 160 MXR 3.0 на колёсах 12/14
- Питбайк Apollo Freeride 140 на колёсах 19/16
- Мотоцикл BSE M2-250
- Также было много проезжающих мимо на Avantis Enduro 250, GR7 250 и Kayo K1

Такие покатухи мы планируем проводить на регулярной основе совместно с вами и каждый раз мы будем дарить призы самым крутым участникам питбайк-фрирайда ;)
И кстати скоро видео с нашей совместной, с вами, катки!

Всем приятного просмотра ;)";text;nash-pervyy-pitbayk-frirayd;https://www.youtube.com/embed/4PviByrQwMI
10718;Выбираем детский питбайк. В чем разница между Apollo, JMC, Kayo и BSE?;Y;"В PITBIKELAND есть огромное количество детской техники для детей:

Беговелы Apollo
Питбайк BSE KIDS 50
Питбайк PWR Racing FRZ 50
Питбайк Apollo MINI 50
Питбайк KAYO GP1-MX 125
Питбайк KAYO MINI LF110EA
Питбайк KAYO MINI KMB
Питбайк BSE EVO 110
Питбайк JMC 110 S V3.0

В этом выпуске мы сравним детские питбайки похожих классов и разберёмся: чем же эти мотоциклы для детей отличаются друг от друга?!
Сравним технические характеристики мото для детей, расскажем кому какой детский питбайк подойдет под возраст от 4 до 12 лет. 
Это видео не только для детей, но и для их родителей ;)
Всем приятного просмотра!";text;vybiraem-detskiy-pitbayk-v-chem-raznitsa-mezhdu-apollo-jmc-kayo-i-bse;https://www.youtube.com/embed/PylmXtWYDFg
10719;Ушатались на все бабки! Фрирайд на питбайках и эндуро;Y;"Долгожданный выпуск с нашего, совместного с вами, питбайк-фрирайда!
Было много треша, жести и падений - всё как вы любите!
Гоняли на питбайках и мотоциклах, и доказали, что питбайк в эндуро может ;)
Такие покатухи мы планируем проводить на регулярной основе и каждый раз мы будем дарить призы самым крутым участникам питбайк-фрирайда!

Всем приятного просмотра ;)";text;ushatalis-na-vse-babki-frirayd-na-pitbaykakh-i-enduro;https://www.youtube.com/embed/JXAgAoBcqRo
10720;Обзор утилитарных квадроциклов KAYO, AVANTIS и WELS от 150 до 200сс;Y;"В PITBIKELAND есть не только питбайки, но и квадроциклы и их большое количество ;)
В этом видео мы собрали самые популярные китайские квадрики: сравнили их технические характеристики и рассказали кому какая модель больше подойдёт 
В сегодняшнем обзоре представлены квадроциклы:

AVANTIS HUNTER 200 (вариатор, 200сс)
WELS THINDER EVO 200 (вариатор, 200сс)
KAYO BULL-3C (вариатор, 200cc)
KAYO BULL-2B (вариатор, 150cc)
KAYO TOR 250 (механ. КПП, 250сс)

Всем приятного просмотра!";text;obzor-utilitarnykh-kvadrotsiklov-kayo-avantis-i-wels-ot-150-do-200ss;https://www.youtube.com/embed/OGk0ballwsM
10721;Питбайк мечты. Узнай как его выиграть!;Y;"Всем привет! 
Мы обещали и сделали наши Пит мечты из Ирбиса.
Условия розыгрыша Питбайка мечты: 
1. Подписаться на наш канал и нажать колокольчик.
2. Написать любой комментарий под первой серией Питбайка мечты   

 • Купили Ирбис ТТР ...  
2. Дождаться третьей серии в этот понедельник 13.07.2020 и узнать дату прямого эфира, где мы будем выбирать победителя! 
Ты в игре!
Победителя мы выберем из комментариев  методом случайных чисел в прямом эфире. 
Доставку в любую точки страны берем на себя!";text;pitbayk-mechty-uznay-kak-ego-vyigrat;https://www.youtube.com/embed/CLuyWHEvKYM
10722;Скутерец называет дату розыгрыша Питбайка мечты!Путь от IRBIS TTR от Пушка Гараж до лайбы за 130к.;Y;"Ура! Это финал! Мы называем дату розыгрыша нашего Питбайка мечты, в который мы вложили огромное количество сил, времени и денег. Еще 8 месяцев назад мы купили уже бывалый в ведро туре Ирбис ТТР у Пушки Гараж И его владельца Гердоса и довели его до идеала, вложив 130 тысяч в новый мотор на питбайк, тюнинг подвески, новую графику, пластик рычаги управления и так далее. Андрей Скутерец приехал к нам и проверил, что это достойный мотик, хорошенько раздал на нем на заднем и мы назвали точную дату конкурса.
Кстати точную стоимость мы также назовем в этом выпуске.
Условия розыгрыша Питбайка мечты: 
1. Подписаться на наш канал и нажать колокольчик.
2. Написать любой комментарий под ЭТИМ ВИДЕО! 
3. Дождаться прямого эфира (дату и время ты узнаешь в этом выпуске) и узнать, может быть именно ТЫ заберешь себе эту Пушку! 
Победителя мы выберем из комментариев под данным видео методом случайных чисел в прямом эфире. 
Доставку в любую точки страны берем на себя!

Приезжай в наши мотосалоны питбайков, квадроциклов и больших эндуро мотоциклов ПИТЛЕНД на севере и юге Москвы.";text;skuterets-nazyvaet-datu-rozygrysha-pitbayka-mechty-put-ot-irbis-ttr-ot-pushka-garazh-do-layby-za-130;https://www.youtube.com/embed/FVH1gMIuwDU
10723;Питбайки WELS. Что нового в 2020 году?;Y;"В наши салоны PITBIKELAND приехали питбайки WELS 2020 года выпуска!
Многие спрашивают: ''А правда, что Apollo и WELS теперь собираются на одном заводе?""
Узнаешь в этом выпуске ;)
Всем приятного просмотра!";text;pitbayki-wels-chto-novogo-v-2020-godu;https://www.youtube.com/embed/3beNZAaA0wA
10724;Самый крутой из эндуро водянок? BSE Z7, ZUUM 300NC, Regulmoto Aqua Sport, Avantis Dakar, Kayo K6-L;Y;"В этом выпуске мы сделаем обзор китайских эндуро мотоциклов с водяным охлаждением или так называемых  - водянок. Что же лучше выбрать под свой рост, вес и стиль катания?   BSE Z7 300 (ZS174MM, 2020) , ZUUM CR300NC (ZS177MM, 2020), KAYO K6-L (ZS177MM, 2020), AVANTIS DAKAR 250 (ZS170MM, 2020) или же Regulmoto AQUA SPORT с ПТС (ZS170MM, 2020)?
И ответим на вопрос: какой кроссовый мотоцикл на моторе с водяным охлаждением взять для мотокросса, прохвата в грязи, простых покатушек или эндуро?";text;samyy-krutoy-iz-enduro-vodyanok-bse-z7-zuum-300nc-regulmoto-aqua-sport-avantis-dakar-kayo-k6-l;https://www.youtube.com/embed/TkeCHvgGJJg
10725;Кто ты Питбайкер? Едем в Кондуки и рассказываем о JMC, YCF, BSE как есть;Y;"В этом видео мы отправились на двухдневную покатушку в Кондуки (Тульская обл.) и в нашей компании были райдеры разных типов: Колхозник, который гоняет только на даче, и гонщики-любители. 

Питбайки, представленные в видео:

- JMC 160MXR V3.0
- JMC 150MX V3.0
- YCF BIGY 150MX (160cc)
- BSE PH10-125MX

На этих байках мы месились по полной: заезжали в большие склоны, гоняли по жёсткой глине, вязкой грязи и песку, и вообщем-то показали: как можно провести выходные на природе, просто закинув питбайк в багажник или прицеп. Смотри это видео, тебе понравится!
Всем приятного просмотра ;)";text;kto-ty-pitbayker-edem-v-konduki-i-rasskazyvaem-o-jmc-ycf-bse-kak-est;https://www.youtube.com/embed/P7hY28gOqP0
10726;Его ПЕРВАЯ гонка на питбайке за 68к. Один день с подписчиком;Y;"Друзья! Мы запускаем новую рубрику ""День из жизни Подписчика"". Каждый может в неё попасть. Для этого тебе надо всего лишь отправить на нашу почту zayavka@pitbikeland.ru небольшой рассказ о себе, о том как ты окунулся в мир питбайков, на чём гоняешь и в каком стиле. А дальше мы выберем того, кто нам больше понравится и проведём с ним целый день ;)

В этом видео нашим первым героем стал простой парень - Миша Чернега. Ему 26 лет, второй год гоняет на питбайке  SSR 150 с минимальными доработками и совсем недавно решил попробовать себя в гонке. Мы сразу отправились к нему, посмотрели как он живёт, где тренируется, а затем мы поехали с ним на его первую гонку по минимотокроссу в Ленинские Горки. 
А как всё это было - смотри в этом выпуске ;)
Всем приятного просмотра!";text;ego-pervaya-gonka-na-pitbayke-za-68k-odin-den-s-podpischikom;https://www.youtube.com/embed/gP11wLeEGCc
10727;Что будет с эндуро и питбайками BSE в 2021? Мертвая петля на BSE M8;Y;"В этом выпуске мы поехали на презентацию обновлённой техники BSE 2021 года. Рушан затестил некоторые мотики и провёл тест-драйв BSE M8 450 в необычном формате - на мёртвой петле. Это выглядело максимально круто!
Смотрите и кайфуте ;)";text;chto-budet-s-enduro-i-pitbaykami-bse-v-2021-mertvaya-petlya-na-bse-m8;https://www.youtube.com/embed/m0HjqS2mJXA
10728;Облом с регистрацией Эндуро мотоцикла с ПТС. Regulmoto Aqua Enduro обзор, впечатления.;Y;"Сейчас не найдется такого производителя, кто бы не сделал своего эндуро мотоцикла с ПТС, тут вам и Avantis 250 enduro, Kayo t2g, Кайо Т4 и Т2, даже BSE в этом году планируют байк с ПТС да еще на разных двигателях зонгшен ZS174MM, ZS177MM, ZS170MM, Zongshen 172 FMM или же Regulmoto AQUA SPORT с ПТС (ZS170MM, 2020)?В этом видео речь пойдёт о кроссовом мотоцикле Regulmoto Aqua Enduro 250 с ПТС и о том на сколько он универсален⁣⁣ и как поставить китайский мотоцикл на учет и отправиться на нем на дальняк. 
Хочешь ездить по городу? Хочешь в лес на прохват? Гони! В этом видео Рушан испытал байк на дороге, замерил его максимальную скорость и комфорт и попытался поставить мотоцикл на учёт в ГАИ, зарегистрировавшись на гос услугах  и получить гос номер. Но всё не так просто, нас обломали. А с чем именно - смотри в выпуске!
Всем приятного просмотра!";text;oblom-s-registratsiey-enduro-mototsikla-s-pts-regulmoto-aqua-enduro-obzor-vpechatleniya;https://www.youtube.com/embed/Mj9JhtUoFMU
