Название;Активность;Фото для анонса;Детальное фото;Символьный код;Сортировка;Координаты;Город;Адрес;Телефон;Эл. почта;Время работы;Описание;Регионы;Группа
Екатеринбург;Y;https://pitland.ru/upload/iblock/485/fug0f342exzcdtp3dnpqm9q1mhe1mzu0.png;https://pitland.ru/upload/iblock/485/fug0f342exzcdtp3dnpqm9q1mhe1mzu0.png;ekaterenburg;300;56.834104,60.63546;Екатеринбург;Восточная улица, 7Г, Екатеринбург, Свердловская область, 620100;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;2;Екатеринбург
Санкт-Петербург;Y;https://pitland.ru/upload/iblock/447/cbsagbpj93fh28r32nb04jlr8amg1107.JPG;https://pitland.ru/upload/iblock/447/cbsagbpj93fh28r32nb04jlr8amg1107.JPG;spb;300;60.001617,30.266781;Санкт-Петербург;Комендантский пр., 4, Санкт-Петербург, Россия, 197372;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;41;Санкт-Петербург
Новосибирск;Y;https://pitland.ru/upload/iblock/d24/s9hb1e5fbhv2txb4kaca9mjurecu1ro4.png;https://pitland.ru/upload/iblock/d24/s9hb1e5fbhv2txb4kaca9mjurecu1ro4.png;novosibirsk;300;55.050091,82.941259;Новосибирск;улица Писарева, 102, Новосибирск, 630112;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;28;Новосибирск
Севастополь;Y;https://pitland.ru/upload/iblock/841/9whv7zb6yxg3y8xrywc0y4wn8dkt3q6s.png;https://pitland.ru/upload/iblock/841/9whv7zb6yxg3y8xrywc0y4wn8dkt3q6s.png;sevastopol;300;44.574979,33.440056;Севастополь;улица Правды, 33А, Севастополь, 299058;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;43;Севастополь
Архангельск;Y;https://pitland.ru/upload/iblock/775/8vofer3x8osikehof4xvob5scuka3sz8.png;https://pitland.ru/upload/iblock/775/8vofer3x8osikehof4xvob5scuka3sz8.png;arhangelsk;300;64.534281,40.526084;Архангельск;просп. Троицкий, 20, Архангельск, Архангельская обл., Россия, 163069;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;4;Архангельск
Астрахань;Y;https://pitland.ru/upload/iblock/357/ccmalleg31y70g9i6apl238uuxxhnws9.png;https://pitland.ru/upload/iblock/357/ccmalleg31y70g9i6apl238uuxxhnws9.png;astrahan;300;46.371248,48.048818;Астрахань;улица Савушкина, 12А, Астрахань, 414056;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;5;Астрахань
Барнаул;Y;https://pitland.ru/upload/iblock/f46/by9x7bwjzqp9kxro8qqekew0v0xkxowe.png;https://pitland.ru/upload/iblock/f46/by9x7bwjzqp9kxro8qqekew0v0xkxowe.png;barnaul;300;53.329434,83.693583;Барнаул;улица Малахова, 179, Барнаул, Алтайский край, 656006;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;6;Барнаул
Благовещенск;Y;https://pitland.ru/upload/iblock/05c/h548t87kh96ivwdrrwc5isj7821udqqv.png;https://pitland.ru/upload/iblock/05c/h548t87kh96ivwdrrwc5isj7821udqqv.png;blagoveshensk;300;50.258729,127.518352;Благовещенск;улица Калинина, 8, Благовещенск, Амурская область, 675011;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;7;Благовещенск
Великий Новгород;Y;https://pitland.ru/upload/iblock/e1c/rjqbuz6ps1z9z4yahg01pebfhsux20ne.png;https://pitland.ru/upload/iblock/e1c/rjqbuz6ps1z9z4yahg01pebfhsux20ne.png;velnovgorod;300;58.539101,31.303633;Великий Новгород;Большая Московская улица, 104к2, Великий Новгород, 173020;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;8;Великий Новгород
Владивосток;Y;https://pitland.ru/upload/iblock/abb/72hsf73v5ri4ijq5era7a35gk580b5x1.png;https://pitland.ru/upload/iblock/abb/72hsf73v5ri4ijq5era7a35gk580b5x1.png;vladivostok;300;43.129354,131.918819;Владивосток;Народный проспект, 28, Владивосток, Приморский край, 690014;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Пн-Вс:;9;Владивосток
